logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A11	1.00186893549833	7.28268659989776	6.26652152261232	1.03029267588709e-09	1.03416338870258e-07	11.7667656109248
TGM3	1.29722566533896	2.89191985861098	6.16734790709997	1.82510589666202e-09	1.58653224548113e-07	11.2197780616611
SLC39A4	1.08892110141508	2.3788515789029	6.1633673266787	1.86720495874728e-09	1.60774311329481e-07	11.1979704375478
MMP7	1.40909643573591	2.10028872181653	6.13940667143836	2.14143010410475e-09	1.79288028255185e-07	11.0669427459872
CAPG	1.00631284168362	4.3729899529567	6.12225202889185	2.36157719714488e-09	1.93266371701478e-07	10.9733875235304
CYP4A22	-1.15981271726951	4.81138607373003	-6.08484580707408	2.92114909755078e-09	2.30745377410011e-07	10.7701247433046
MMP9	1.17690403955754	3.15771954392386	6.03664556511605	3.83628883975466e-09	2.86821792759929e-07	10.5097036273984
TMEM92	1.08474589469306	2.24533676033781	6.02530169249063	4.08941350262712e-09	3.04493707031678e-07	10.4486594247244
CXCL1	1.37157077687446	2.38238082599635	6.00234547775748	4.65257974077559e-09	3.36765214065382e-07	10.3254134120554
SPINT1	1.40878988921221	2.68042482073122	5.99177445778413	4.93674323304625e-09	3.50354496320251e-07	10.268789738384
LGALS3BP	1.12037260432666	7.46766348012113	5.93998766723717	6.59271212573641e-09	4.42417007769085e-07	9.9925762204666
S100A6	1.07031365737067	6.79374463719363	5.83793687347811	1.15913922490624e-08	6.90466932396608e-07	9.45405035477819
FNDC5	-1.32673137979018	2.93177594073204	-5.7741663611839	1.64284337536501e-08	9.35648227073088e-07	9.12145083085606
TSPAN8	1.34325727843106	5.387983309843	5.73567071560578	2.02486833494621e-08	1.10473897625534e-06	8.92214292889142
UBD	1.17705618301543	6.65408255967881	5.73170110268492	2.06886884600013e-08	1.11800608671933e-06	8.90165370165424
CXCL8	1.2299241224645	2.82357865367875	5.72582407026083	2.13572784301933e-08	1.13788573172948e-06	8.87134099050469
B3GNT3	1.20537933469801	2.93487564413974	5.71053611161998	2.3196666637402e-08	1.20386184801814e-06	8.79260976242161
CYP8B1	-1.71076135798863	5.6096283053733	-5.66082247580384	3.0309515808603e-08	1.4723617198147e-06	8.5378053825254
GCGR	-1.33307909809997	3.16589602781595	-5.49169340741636	7.42571460574461e-08	3.01812937264358e-06	7.68496257853383
TIMP1	1.1221026564989	7.95931800445756	5.48598372285726	7.65091075136313e-08	3.08207863704579e-06	7.65655186050147
VNN2	1.04266323607797	2.9109421521986	5.46536556186441	8.52074405658102e-08	3.34934102585589e-06	7.55416654507198
TESC	1.23045747520503	3.63389169792066	5.45763803402769	8.87091656477188e-08	3.46595294943603e-06	7.51587742607025
RTP3	-1.22298900063502	4.67616943287611	-5.32089792542041	1.79563445810021e-07	5.88864383299002e-06	6.84596657210947
AKR1C2	1.0737090857257	6.04305139101626	5.27366792565014	2.28326793059558e-07	7.05483193249328e-06	6.61795116199217
LY6E	1.08512538383454	5.79906651963197	5.26115492887836	2.43262801164704e-07	7.42789675892494e-06	6.55783307763259
LCN2	1.64611530985281	5.63841349129514	5.24437649950454	2.64784870543561e-07	7.93830285154358e-06	6.47741414953395
GYS2	-1.13628211158912	3.91170861348038	-5.20949575131286	3.15596424537825e-07	9.23310119324189e-06	6.31093694990909
TTC36	-1.25239635706582	3.25409744127269	-5.16921990715644	3.86061185019801e-07	1.09081797969514e-05	6.11989948084581
TRNP1	1.07459768765637	3.60857144544679	5.15763802478694	4.09000759568642e-07	1.13968187114158e-05	6.06520052163816
BHMT	-1.35404877007898	6.28181485864246	-5.13210024863434	4.64343126958153e-07	1.25538481109758e-05	5.94496475872577
KRT23	1.40065229564051	2.92164423432485	5.12302021277714	4.85715977454053e-07	1.28824640560368e-05	5.90233878229194
MOGAT2	-1.0124333491495	2.94874444592798	-5.0037941511827	8.71793495704959e-07	2.03386767693377e-05	5.34870685102987
SLC27A5	-1.00644488371087	6.04462330243056	-5.00372809604764	8.7207338195256e-07	2.03386767693377e-05	5.34840325945005
